name,price
醤油ラーメン,690
醤油つけ麺,790
醤油ネギラーメン,790
醤油ピリ辛ネギラーメン,790
醤油チャーシュー麺,930
醤油ネギチャーシュー麺,1030
味噌ラーメン,690
味噌つけ麺,790
味噌ネギラーメン,790
味噌ピリ辛ネギラーメン,790
味噌チャーシュー麺,930
味噌ネギチャーシュー麺,1030
塩ラーメン,690
塩ネギラーメン,790
塩ピリ辛ネギラーメン,790
塩チャーシュー麺,930
塩ネギチャーシュー麺,1030
特製味噌ラーメン,790
特製味噌ネギラーメン,890
特製味噌チャーシュー麺,1030
特製味噌ネギチャーシュー麺,1130
辛味噌ラーメン,790
辛味噌つけ麺,890
辛味噌ネギラーメン,890
辛味噌チャーシュー麺,1030
辛味噌ネギチャーシュー麺,1130
プレミアム醤油とんこつ,890
プレミアム塩とんこつ,890
ウルトラ激辛ラーメン,940
